Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
30,Sat,4/16/11,,Kaiserslautern,0–2,Nürnberg,,,Guido Winkmann,Match Report,
30,Sat,4/16/11,,Wolfsburg,2–2,St. Pauli,,,Felix Brych,Match Report,
30,Sun,4/17/11,,Bayern Munich,5–1,Leverkusen,,,Manuel Gräfe,Match Report,
30,Sun,4/17/11,,Dortmund,3–0,Freiburg,,,Felix Zwayer,Match Report,
,,,,,,,,,,,
31,Thu,4/21/11,,Freiburg,1–3,Hannover 96,,,Markus Wingenbach,Match Report,
31,Sat,4/23/11,,Stuttgart,3–0,Hamburger SV,,,Thorsten Kinhöfer,Match Report,
31,Sat,4/23/11,,Eint Frankfurt,1–1,Bayern Munich,,,Jochen Drees,Match Report,
31,Sat,4/23/11,,Leverkusen,2–1,Hoffenheim,,,Florian Meyer,Match Report,
31,Sat,4/23/11,,Schalke 04,0–1,Kaiserslautern,,,Marco Fritz,Match Report,
31,Sat,4/23/11,,M'Gladbach,1–0,Dortmund,,,Wolfgang Stark,Match Report,
