Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2011-02-05,,Marítimo,1–2,Braga,,Estádio dos Barreiros ,Hugo Miguel,Match Report,
18,Sun,2011-02-06,,Porto,1–0,Rio Ave,,Estádio Do Dragão ,Vasco Santos,Match Report,
18,Sun,2011-02-06,,Vitória Setúbal,0–2,Benfica,,Estádio do Bonfim ,Cosme Machado,Match Report,
18,Sun,2011-02-06,,Vitória,0–0,Nacional,,Estádio Dom Afonso Henriques ,João Capela,Match Report,
18,Sun,2011-02-06,,Portimonense,0–1,Paços,,Estádio do Portimonense SC ,João Ferreira,Match Report,
18,Sun,2011-02-06,,União de Leiria,0–2,Olhanense,,Estádio Dr. Magalhães Pessoa ,Jorge Sousa,Match Report,
18,Sun,2011-02-06,,Académica,3–3,Beira-Mar,,Estádio EFAPEL ,André Gralha,Match Report,

19,Sat,2011-02-12,,Nacional,0–1,União de Leiria,,Estádio da Madeira ,Hélder Malheiro,Match Report,
19,Sat,2011-02-12,,Olhanense,2–2,Sporting CP,,Estádio José Arcanjo ,Olegário Benquerença,Match Report,
19,Sun,2011-02-13,,Paços,1–0,Marítimo,,Estádio da Capital do Móvel ,Manuel Mota,Match Report,
19,Sun,2011-02-13,,Rio Ave,2–0,Portimonense,,Estádio do Rio Ave Futebol Clube ,Bruno Esteves,Match Report,
19,Sun,2011-02-13,,Benfica,3–0,Vitória,,Estádio do Sport Lisboa e Benfica ,João Ferreira,Match Report,
19,Sun,2011-02-13,,Braga,0–2,Porto,,Estádio Municipal de Braga ,Duarte Gomes,Match Report,
19,Sun,2011-02-13,,Naval,3–1,Académica,,Estádio Municipal José Bento Pessoa ,Carlos Xistra,Match Report,
19,Mon,2011-02-14,,Beira-Mar,0–0,Vitória Setúbal,,Estádio Municipal de Aveiro ,Rui Costa,Match Report,

20,Fri,2011-02-18,,União de Leiria,0–1,Vitória,,Estádio Dr. Magalhães Pessoa ,Elmano Santos,Match Report,
20,Sat,2011-02-19,,Portimonense,1–1,Olhanense,,Estádio do Portimonense SC ,Hugo Miguel,Match Report,
20,Sun,2011-02-20,,Braga,1–2,Paços,,Estádio Municipal de Braga ,André Gralha,Match Report,
20,Sun,2011-02-20,,Marítimo,1–0,Beira-Mar,,Estádio dos Barreiros ,Jorge Sousa,Match Report,
20,Sun,2011-02-20,,Vitória Setúbal,1–1,Naval,,Estádio do Bonfim ,Marco Ferreira,Match Report,
20,Sun,2011-02-20,,Académica,0–1,Rio Ave,,Estádio EFAPEL ,João Capela,Match Report,
20,Mon,2011-02-21,,Sporting CP,0–2,Benfica,,Estádio José Alvalade ,Artur Soares Dias,Match Report,

21,Fri,2011-02-25,,Vitória,0–2,Académica,,Estádio Dom Afonso Henriques ,Hugo Pacheco,Match Report,
21,Sat,2011-02-26,,Paços,2–0,Vitória Setúbal,,Estádio da Capital do Móvel ,Jorge Sousa,Match Report,
21,Sat,2011-02-26,,Olhanense,0–3,Porto,,Estádio José Arcanjo ,João Capela,Match Report,
21,Sun,2011-02-27,,Rio Ave,1–0,União de Leiria,,Estádio do Rio Ave Futebol Clube ,Marco Ferreira,Match Report,
21,Sun,2011-02-27,,Nacional,1–0,Sporting CP,,Estádio da Madeira ,Carlos Xistra,Match Report,
21,Sun,2011-02-27,,Beira-Mar,0–1,Portimonense,,Estádio Municipal de Aveiro ,Cosme Machado,Match Report,
21,Sun,2011-02-27,,Benfica,2–1,Marítimo,,Estádio do Sport Lisboa e Benfica ,Vasco Santos,Match Report,
21,Mon,2011-02-28,,Naval,0–0,Braga,,Estádio Municipal José Bento Pessoa ,João Ferreira,Match Report,

22,Fri,2011-03-04,,Académica,0–0,União de Leiria,,Estádio EFAPEL ,Bruno Esteves,Match Report,
22,Sat,2011-03-05,,Porto,2–0,Vitória,,Estádio Do Dragão ,Jorge Sousa,Match Report,
22,Sun,2011-03-06,,Marítimo,0–1,Rio Ave,,Estádio dos Barreiros ,Jorge Ferreira,Match Report,
22,Sun,2011-03-06,,Sporting CP,1–0,Beira-Mar,,Estádio José Alvalade ,Hugo Pacheco,Match Report,
22,Sun,2011-03-06,,Vitória Setúbal,0–0,Olhanense,,Estádio do Bonfim ,André Gralha,Match Report,
22,Sun,2011-03-06,,Braga,2–1,Benfica,,Estádio Municipal de Braga ,Carlos Xistra,Match Report,
22,Mon,2011-03-07,,Portimonense,1–1,Nacional,,Estádio do Portimonense SC ,Vasco Santos,Match Report,
22,Mon,2011-03-07,,Paços,0–0,Naval,,Estádio da Capital do Móvel ,Elmano Santos,Match Report,

23,Fri,2011-03-11,,Beira-Mar,3–1,Paços,,Estádio Municipal de Aveiro ,Marco Ferreira,Match Report,
23,Sat,2011-03-12,,Vitória,1–1,Vitória Setúbal,,Estádio Dom Afonso Henriques ,Duarte Gomes,Match Report,
